AGGREGATE_BUNDLED v2,,,,,,,,,
all SKUs are unique,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Quantity,Bundle Item 1,Bundle Item 2,Bundle Item 3,,GradStreet SKU,FNSKU,Packaging,Labels,order
1,"Bachelors Gown+Cap, Black, Matte with pleats, Full Fit, size 63","Tassel, color 025+019",ALL YEAR TAGS,,UBC0173F63T00250190K01,X0022NEGSV,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",103
2,"Bachelors Gown+Cap, Black, Matte with pleats, Standard Fit, size 39","Tassel, color 014",ALL YEAR TAGS,,UBC0173S39T00140000K01,X0022OD7G7,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",104
5,"Bachelors Gown+Cap, Black, Matte with pleats, Standard Fit, size 39","Tassel, color 025+019",ALL YEAR TAGS,,UBC0173S39T00250190K01,X0022R1O23,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",105
3,"Bachelors Gown+Cap, Black, Matte with pleats, Standard Fit, size 42","Tassel, color 014",ALL YEAR TAGS,,UBC0173S42T00140000K01,X0022NEF05,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",106
9,"Bachelors Gown+Cap, Black, Matte with pleats, Standard Fit, size 42","Tassel, color 025+019",ALL YEAR TAGS,,UBC0173S42T00250190K01,X0022Q6O2J,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",107
2,"Bachelors Gown+Cap, Black, Matte with pleats, Standard Fit, size 42","Tassel, color 104",ALL YEAR TAGS,,UBC0173S42T01040000K01,X0022Q7A6D,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",108
2,"Bachelors Gown+Cap, Black, Matte with pleats, Standard Fit, size 45","Tassel, color 002",ALL YEAR TAGS,,UBC0173S45T00020000K01,X0022NEEZV,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",109
19,"Bachelors Gown+Cap, Black, Matte with pleats, Standard Fit, size 45","Tassel, color 014",ALL YEAR TAGS,,UBC0173S45T00140000K01,X0022NEFFP,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",110
2,"Bachelors Gown+Cap, Black, Matte with pleats, Standard Fit, size 45","Tassel, color 015",ALL YEAR TAGS,,UBC0173S45T00150000K01,X0022Q70W7,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",111
8,"Bachelors Gown+Cap, Black, Matte with pleats, Standard Fit, size 45","Tassel, color 019",ALL YEAR TAGS,,UBC0173S45T00190000K01,X0022S1UUX,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",112
